method,estimate,flow,cq,runid
truth,13.518311638075003,unaltered,chemostatic,9
pw,14.300580073760546,base,dilution,10
beale,NA,base,dilution,10
rating,12.171035342170597,base,dilution,10
composite,12.232508860857248,base,dilution,10
truth,12.356099089321157,base,dilution,10
pw,27.60353974222543,storm,dilution,10
beale,NA,storm,dilution,10
rating,13.022602364430446,storm,dilution,10
composite,10.981928974865262,storm,dilution,10
truth,18.316254547190464,storm,dilution,10
pw,15.194850903297072,unaltered,dilution,10
beale,NA,unaltered,dilution,10
rating,12.023872394898738,unaltered,dilution,10
composite,11.975110276299013,unaltered,dilution,10
truth,13.360466371697807,unaltered,dilution,10
pw,6.047278070374552,base,enrich,10
beale,NA,base,enrich,10
rating,16.321120793726536,base,enrich,10
composite,16.460386447411395,base,enrich,10
truth,14.177888191484424,base,enrich,10
pw,1.2074620294926872,storm,enrich,10
beale,NA,storm,enrich,10
rating,66.30849424753227,storm,enrich,10
composite,66.93245325773584,storm,enrich,10
truth,75.68900441249674,storm,enrich,10
pw,3.9470534966438113,unaltered,enrich,10
beale,NA,unaltered,enrich,10
rating,15.961716744452742,unaltered,enrich,10
composite,16.17102381728408,unaltered,enrich,10
truth,13.784141413647644,unaltered,enrich,10
pw,14.37527698065561,base,none,10
beale,NA,base,none,10
rating,16.631120582228483,base,none,10
composite,16.87704699470797,base,none,10
truth,15.794393318439578,base,none,10
pw,6.49925810716529,storm,none,10
beale,NA,storm,none,10
rating,14.880236392476869,storm,none,10
composite,15.54536126491306,storm,none,10
truth,13.82197595607804,storm,none,10
pw,11.627238395406803,unaltered,none,10
beale,NA,unaltered,none,10
rating,14.340971885110328,unaltered,none,10
composite,14.597735961488612,unaltered,none,10
truth,13.563788740555209,unaltered,none,10
pw,13.699733493366718,base,chemostatic,10
beale,NA,base,chemostatic,10
rating,15.90660964817237,base,chemostatic,10
composite,15.953809431538572,base,chemostatic,10
truth,15.771940424318002,base,chemostatic,10
pw,6.193835714788904,storm,chemostatic,10
beale,NA,storm,chemostatic,10
rating,13.993125586541938,storm,chemostatic,10
composite,14.103006575260174,storm,chemostatic,10
truth,13.76763658758849,storm,chemostatic,10
pw,11.080834650717762,unaltered,chemostatic,10
beale,NA,unaltered,chemostatic,10
rating,13.677655336009668,unaltered,chemostatic,10
composite,13.730856345216191,unaltered,chemostatic,10
truth,13.54038810868155,unaltered,chemostatic,10
pw,14.386321063289577,base,dilution,11
beale,NA,base,dilution,11
rating,12.179058172244622,base,dilution,11
composite,12.397344825609183,base,dilution,11
truth,12.556600555947657,base,dilution,11
pw,28.844198821685282,storm,dilution,11
beale,NA,storm,dilution,11
rating,13.201256702371646,storm,dilution,11
composite,13.199289603625925,storm,dilution,11
truth,17.409173039728913,storm,dilution,11
pw,15.706724662834766,unaltered,dilution,11
beale,NA,unaltered,dilution,11
rating,12.253740125353723,unaltered,dilution,11
composite,12.332886555892387,unaltered,dilution,11
truth,13.493768998574774,unaltered,dilution,11
pw,5.862712052948212,base,enrich,11
beale,NA,base,enrich,11
rating,14.187323996630115,base,enrich,11
composite,14.188961678140705,base,enrich,11
truth,14.704857281317166,base,enrich,11
pw,1.2724140723752078,storm,enrich,11
beale,NA,storm,enrich,11
rating,66.08375231091048,storm,enrich,11
composite,66.73253275810069,storm,enrich,11
truth,77.43761721513661,storm,enrich,11
pw,4.025964980860238,unaltered,enrich,11
beale,NA,unaltered,enrich,11
rating,15.18815377613902,unaltered,enrich,11
composite,15.404357726832593,unaltered,enrich,11
truth,14.02816109433266,unaltered,enrich,11
pw,13.38997681641097,base,none,11
beale,NA,base,none,11
rating,17.368918688630696,base,none,11
composite,17.582211176898184,base,none,11
truth,15.885289385687255,base,none,11
pw,5.974571940761519,storm,none,11
beale,NA,storm,none,11
rating,17.088688737449157,storm,none,11
composite,17.16816625189606,storm,none,11
truth,13.694327945806853,storm,none,11
pw,10.676758876891583,unaltered,none,11
beale,NA,unaltered,none,11
rating,15.092905427256461,unaltered,none,11
composite,15.269232288186743,unaltered,none,11
truth,13.496928894854552,unaltered,none,11
pw,13.921052937872497,base,chemostatic,11
beale,NA,base,chemostatic,11
rating,16.035182871588805,base,chemostatic,11
composite,16.03021768349006,base,chemostatic,11
truth,15.959009363953795,base,chemostatic,11
pw,6.211536689632755,storm,chemostatic,11
beale,NA,storm,chemostatic,11
rating,14.101644578623413,storm,chemostatic,11
composite,14.05856902560956,storm,chemostatic,11
truth,13.816166207469742,storm,chemostatic,11
pw,11.100222768716254,unaltered,chemostatic,11
beale,NA,unaltered,chemostatic,11
rating,13.655856943150077,unaltered,chemostatic,11
composite,13.645413587336026,unaltered,chemostatic,11
truth,13.56544294541601,unaltered,chemostatic,11
pw,13.88935918617721,base,dilution,12
beale,NA,base,dilution,12
rating,11.686625220329324,base,dilution,12
composite,11.685842824119042,base,dilution,12
truth,12.369660793325814,base,dilution,12
pw,27.972227748240442,storm,dilution,12
beale,NA,storm,dilution,12
rating,13.01786066979099,storm,dilution,12
composite,13.682702067726144,storm,dilution,12
truth,17.59682222478382,storm,dilution,12
pw,15.407184075264972,unaltered,dilution,12
beale,NA,unaltered,dilution,12
rating,12.187568965798473,unaltered,dilution,12
composite,12.704483227634942,unaltered,dilution,12
truth,13.501224465493738,unaltered,dilution,12
pw,6.790357770370813,base,enrich,12
beale,NA,base,enrich,12
rating,14.30002671171469,base,enrich,12
composite,14.552916861101854,base,enrich,12
truth,14.0587840455982,base,enrich,12
pw,1.2455731662658591,storm,enrich,12
beale,NA,storm,enrich,12
rating,53.12857977315505,storm,enrich,12
composite,53.74507046696145,storm,enrich,12
truth,75.16076303204926,storm,enrich,12
pw,3.9311509102813584,unaltered,enrich,12
beale,NA,unaltered,enrich,12
rating,12.76410329697268,unaltered,enrich,12
composite,12.977124438636382,unaltered,enrich,12
truth,13.748694379377778,unaltered,enrich,12
pw,12.677558529484163,base,none,12
beale,NA,base,none,12
rating,14.69990172735806,base,none,12
composite,15.117313674781567,base,none,12
truth,15.765998226754663,base,none,12
pw,5.690889333165038,storm,none,12
beale,NA,storm,none,12
rating,13.34532209040543,storm,none,12
composite,14.009857030745483,storm,none,12
truth,13.784228666864099,storm,none,12
pw,10.173589518027113,unaltered,none,12
beale,NA,unaltered,none,12
rating,12.705851643686243,unaltered,none,12
composite,13.102726934753049,unaltered,none,12
truth,13.538302009263582,unaltered,none,12
pw,13.780924850252527,base,chemostatic,12
beale,NA,base,chemostatic,12
rating,16.0618603292168,base,chemostatic,12
composite,16.01330976515652,base,chemostatic,12
truth,15.763025295305342,base,chemostatic,12
pw,6.186184670262547,storm,chemostatic,12
beale,NA,storm,chemostatic,12
rating,14.409702125750828,storm,chemostatic,12
composite,14.281703988977764,storm,chemostatic,12
truth,13.72009266889751,storm,chemostatic,12
pw,11.059027830885757,unaltered,chemostatic,12
beale,NA,unaltered,chemostatic,12
rating,13.858872169962602,unaltered,chemostatic,12
composite,13.805976057647221,unaltered,chemostatic,12
truth,13.529857151312312,unaltered,chemostatic,12
