method,estimate,flow,cq,runid
composite,14.114336119737617,storm,none,5
truth,13.70437598963684,storm,none,5
pw,10.20050956377589,unaltered,none,5
beale,NA,unaltered,none,5
rating,13.189090567260578,unaltered,none,5
composite,13.99348759713113,unaltered,none,5
truth,13.512809885009661,unaltered,none,5
pw,12.868311385201794,base,chemostatic,5
beale,NA,base,chemostatic,5
rating,16.18871558232284,base,chemostatic,5
composite,16.467416180961507,base,chemostatic,5
truth,15.792846469172147,base,chemostatic,5
pw,5.488570612245213,storm,chemostatic,5
beale,NA,storm,chemostatic,5
rating,13.791803612506673,storm,chemostatic,5
composite,14.242412643856714,storm,chemostatic,5
truth,13.757344439144887,storm,chemostatic,5
pw,10.409409715358874,unaltered,chemostatic,5
beale,NA,unaltered,chemostatic,5
rating,13.769142217294542,unaltered,chemostatic,5
composite,14.054933427831529,unaltered,chemostatic,5
truth,13.539243088211169,unaltered,chemostatic,5
pw,14.491843395631685,base,dilution,6
beale,NA,base,dilution,6
rating,12.60672014309086,base,dilution,6
composite,12.703093206650065,base,dilution,6
truth,12.417206542259388,base,dilution,6
pw,26.58771998309423,storm,dilution,6
beale,NA,storm,dilution,6
rating,14.541927021289146,storm,dilution,6
composite,12.650939259876866,storm,dilution,6
truth,18.729047183155952,storm,dilution,6
pw,15.347050666486872,unaltered,dilution,6
beale,NA,unaltered,dilution,6
rating,12.625070114587585,unaltered,dilution,6
composite,12.752299403852863,unaltered,dilution,6
truth,13.448135976708869,unaltered,dilution,6
pw,5.406260725305818,base,enrich,6
beale,NA,base,enrich,6
rating,12.743133642585025,base,enrich,6
composite,12.807345630617773,base,enrich,6
truth,14.222597862877404,base,enrich,6
pw,0.8861981418590538,storm,enrich,6
beale,NA,storm,enrich,6
rating,34.20866838784025,storm,enrich,6
composite,34.53495297739547,storm,enrich,6
truth,76.1217288602951,storm,enrich,6
pw,3.390942469791067,unaltered,enrich,6
beale,NA,unaltered,enrich,6
rating,13.458514748620578,unaltered,enrich,6
composite,13.501988159007515,unaltered,enrich,6
truth,13.890315316572256,unaltered,enrich,6
pw,12.583790830950017,base,none,6
beale,NA,base,none,6
rating,14.092216836584269,base,none,6
composite,15.185871961692365,base,none,6
truth,15.781362894518784,base,none,6
pw,5.228399108357217,storm,none,6
beale,NA,storm,none,6
rating,11.005988154880466,storm,none,6
composite,12.061231354496773,storm,none,6
truth,13.683228572145712,storm,none,6
pw,9.913116754301042,unaltered,none,6
beale,NA,unaltered,none,6
rating,11.762105607857402,unaltered,none,6
composite,12.750869776070257,unaltered,none,6
truth,13.511092873147426,unaltered,none,6
pw,13.254581644423899,base,chemostatic,6
beale,NA,base,chemostatic,6
rating,15.776022040108998,base,chemostatic,6
composite,15.905581995185406,base,chemostatic,6
truth,15.81522266135015,base,chemostatic,6
pw,5.507103843534087,storm,chemostatic,6
beale,NA,storm,chemostatic,6
rating,13.423920412768863,storm,chemostatic,6
composite,13.541123717612196,storm,chemostatic,6
truth,13.744375869386813,storm,chemostatic,6
pw,10.441544772615227,unaltered,chemostatic,6
