method,estimate,flow,cq,runid
composite,13.629333811247614,unaltered,chemostatic,5
truth,13.512403277577087,unaltered,chemostatic,5
pw,15.326021009677033,base,dilution,6
beale,NA,base,dilution,6
rating,12.378927191510543,base,dilution,6
composite,12.555184969442129,base,dilution,6
truth,12.455259108144675,base,dilution,6
pw,35.03844462946074,storm,dilution,6
beale,NA,storm,dilution,6
rating,12.982105563615118,storm,dilution,6
composite,11.114536725855505,storm,dilution,6
truth,17.373638345104055,storm,dilution,6
pw,16.505387658712394,unaltered,dilution,6
beale,NA,unaltered,dilution,6
rating,12.371542749162934,unaltered,dilution,6
composite,12.304882101322232,unaltered,dilution,6
truth,13.579886496136927,unaltered,dilution,6
pw,6.351899205227973,base,enrich,6
beale,NA,base,enrich,6
rating,13.74089532575122,base,enrich,6
composite,13.734051019283358,base,enrich,6
truth,14.520496506480054,base,enrich,6
pw,1.5046843349777603,storm,enrich,6
beale,NA,storm,enrich,6
rating,60.24460935253807,storm,enrich,6
composite,60.42563999442393,storm,enrich,6
truth,77.31000540225459,storm,enrich,6
pw,3.895980309353003,unaltered,enrich,6
beale,NA,unaltered,enrich,6
rating,13.017658772092465,unaltered,enrich,6
composite,13.038620148679017,unaltered,enrich,6
truth,13.989579211172353,unaltered,enrich,6
pw,14.379616824005184,base,none,6
beale,NA,base,none,6
rating,15.722099935385634,base,none,6
composite,16.013929520506625,base,none,6
truth,15.89445465019531,base,none,6
pw,7.378105794566424,storm,none,6
beale,NA,storm,none,6
rating,13.748318563299655,storm,none,6
composite,13.944567068774855,storm,none,6
truth,13.857593683374773,storm,none,6
pw,11.64184766874384,unaltered,none,6
beale,NA,unaltered,none,6
rating,13.43327090855106,unaltered,none,6
composite,13.670751941106118,unaltered,none,6
truth,13.592984400262287,unaltered,none,6
pw,13.864743848893779,base,chemostatic,6
beale,NA,base,chemostatic,6
rating,15.716494528223565,base,chemostatic,6
composite,15.844110650402227,base,chemostatic,6
truth,15.838576553849212,base,chemostatic,6
pw,7.113927177873838,storm,chemostatic,6
beale,NA,storm,chemostatic,6
rating,13.585800484566048,storm,chemostatic,6
composite,13.785844088826819,storm,chemostatic,6
truth,13.727916871797987,storm,chemostatic,6
pw,11.225002573470265,unaltered,chemostatic,6
beale,NA,unaltered,chemostatic,6
rating,13.42863739482103,unaltered,chemostatic,6
composite,13.553631854551753,unaltered,chemostatic,6
truth,13.53881070567978,unaltered,chemostatic,6
pw,14.787085590637396,base,dilution,7
beale,NA,base,dilution,7
rating,11.897910521332978,base,dilution,7
composite,12.031864986669673,base,dilution,7
truth,12.234439492579037,base,dilution,7
pw,33.70781532136271,storm,dilution,7
beale,NA,storm,dilution,7
rating,12.50316115529842,storm,dilution,7
composite,12.038525153337647,storm,dilution,7
truth,17.03000680630852,storm,dilution,7
pw,15.960447493075085,unaltered,dilution,7
beale,NA,unaltered,dilution,7
rating,11.877450685402875,unaltered,dilution,7
composite,11.953477514663886,unaltered,dilution,7
truth,13.456137636110993,unaltered,dilution,7
pw,5.603832574771202,base,enrich,7
beale,NA,base,enrich,7
rating,12.805621856976158,base,enrich,7
composite,12.768324546424035,base,enrich,7
truth,13.60420718411128,base,enrich,7
pw,1.4463971379988938,storm,enrich,7
beale,NA,storm,enrich,7
rating,58.99193157836913,storm,enrich,7
composite,59.057050261372545,storm,enrich,7
truth,76.19006261945978,storm,enrich,7
pw,3.842252650138817,unaltered,enrich,7
beale,NA,unaltered,enrich,7
rating,12.9266019160372,unaltered,enrich,7
composite,12.913498332065052,unaltered,enrich,7
truth,13.709425734466734,unaltered,enrich,7
pw,13.032719925374755,base,none,7
beale,NA,base,none,7
rating,14.490273472328774,base,none,7
composite,14.618189912363722,base,none,7
truth,15.543452993991089,base,none,7
pw,6.8059137653539015,storm,none,7
beale,NA,storm,none,7
rating,13.15042373310402,storm,none,7
composite,13.395233648282183,storm,none,7
truth,13.693785367875481,storm,none,7
